,ambiguity_type,distance_bert,distance_elmo,overlap,pos,same,source,string,version,word
175,Polysemy,0.3633385896682739,0.15138548612594604,moderate overlap,N,False,Klepousniotou et al (2008),cause,M1_a_M2_a,cause
176,Polysemy,0.4086315631866455,0.12222641706466675,moderate overlap,N,False,Klepousniotou et al (2008),cause,M1_a_M2_b,cause
177,Polysemy,0.33915889263153076,0.11589807271957397,moderate overlap,N,False,Klepousniotou et al (2008),cause,M1_b_M2_a,cause
178,Polysemy,0.40175217390060425,0.09559476375579834,moderate overlap,N,False,Klepousniotou et al (2008),cause,M1_b_M2_b,cause
179,Polysemy,0.07125967741012573,0.037079811096191406,moderate overlap,N,True,Klepousniotou et al (2008),cause,M2_a_M2_b,cause
180,Unsure,0.15075939893722534,0.04007554054260254,moderate overlap,N,True,Klepousniotou et al (2008),cone,M1_a_M1_b,cone
181,Unsure,0.17819905281066895,0.0509151816368103,moderate overlap,N,False,Klepousniotou et al (2008),cone,M1_a_M2_a,cone
182,Unsure,0.320831298828125,0.069333016872406,moderate overlap,N,False,Klepousniotou et al (2008),cone,M1_a_M2_b,cone
183,Unsure,0.16224294900894165,0.041742801666259766,moderate overlap,N,False,Klepousniotou et al (2008),cone,M1_b_M2_a,cone
184,Unsure,0.2520526647567749,0.0657244324684143,moderate overlap,N,False,Klepousniotou et al (2008),cone,M1_b_M2_b,cone
185,Unsure,0.22839516401290894,0.06775349378585815,moderate overlap,N,True,Klepousniotou et al (2008),cone,M2_a_M2_b,cone
186,Polysemy,0.16328489780426025,0.08066368103027344,moderate overlap,N,True,Klepousniotou et al (2008),country,M1_a_M1_b,country
187,Polysemy,0.4605395197868347,0.10825240612030029,moderate overlap,N,False,Klepousniotou et al (2008),country,M1_a_M2_a,country
188,Polysemy,0.2900541424751282,0.10227847099304199,moderate overlap,N,False,Klepousniotou et al (2008),country,M1_a_M2_b,country
189,Polysemy,0.40955114364624023,0.11179137229919434,moderate overlap,N,False,Klepousniotou et al (2008),country,M1_b_M2_a,country
190,Polysemy,0.2085554599761963,0.07626807689666748,moderate overlap,N,False,Klepousniotou et al (2008),country,M1_b_M2_b,country
191,Polysemy,0.3420572876930237,0.10608398914337158,moderate overlap,N,True,Klepousniotou et al (2008),country,M2_a_M2_b,country
192,Unsure,0.18879979848861694,0.0337451696395874,moderate overlap,N,True,Klepousniotou et al (2008),cover,M1_a_M1_b,cover
193,Unsure,0.31709712743759155,0.09840726852416992,moderate overlap,N,False,Klepousniotou et al (2008),cover,M1_a_M2_a,cover
194,Unsure,0.32064759731292725,0.08984923362731934,moderate overlap,N,False,Klepousniotou et al (2008),cover,M1_a_M2_b,cover
195,Unsure,0.26413971185684204,0.10253071784973145,moderate overlap,N,False,Klepousniotou et al (2008),cover,M1_b_M2_a,cover
196,Unsure,0.19731497764587402,0.0879063606262207,moderate overlap,N,False,Klepousniotou et al (2008),cover,M1_b_M2_b,cover
197,Unsure,0.14710283279418945,0.09452152252197266,moderate overlap,N,True,Klepousniotou et al (2008),cover,M2_a_M2_b,cover
198,Polysemy,0.14811599254608154,0.05917680263519287,moderate overlap,N,True,Klepousniotou et al (2008),film,M1_a_M1_b,film
199,Polysemy,0.49471813440322876,0.06169670820236206,moderate overlap,N,False,Klepousniotou et al (2008),film,M1_a_M2_a,film
200,Polysemy,0.4861007332801819,0.12375450134277344,moderate overlap,N,False,Klepousniotou et al (2008),film,M1_a_M2_b,film
201,Polysemy,0.44012290239334106,0.04565834999084473,moderate overlap,N,False,Klepousniotou et al (2008),film,M1_b_M2_a,film
